time,power,torque,base_buoy_torque,pulse_torque,total_chain_torque,tau_net,tau_to_generator,clutch_c,clutch_state,total_energy,pulse_count,flywheel_speed_rpm,chain_speed_rpm,clutch_engaged,tank_pressure,overall_efficiency,avg_floater_velocity
5.999999999999995,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,10718.413389246287,True,5.0,0.0,0.0
6.099999999999994,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,10909.399320956561,True,5.0,0.0,0.0
6.199999999999994,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,11100.385252666836,True,5.0,0.0,0.0
6.299999999999994,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,11291.371184377109,True,5.0,0.0,0.0
6.399999999999993,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,11482.357116087383,True,5.0,0.0,0.0
6.499999999999993,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,11673.343047797658,True,5.0,0.0,0.0
6.5999999999999925,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,11864.328979507933,True,5.0,0.0,0.0
6.699999999999992,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,12055.314911218207,True,5.0,0.0,0.0
6.799999999999992,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,12246.300842928482,True,5.0,0.0,0.0
6.8999999999999915,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,12437.286774638756,True,5.0,0.0,0.0
6.999999999999991,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,12628.272706349031,True,5.0,0.0,0.0
7.099999999999991,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,12819.258638059306,True,5.0,0.0,0.0
7.19999999999999,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,13010.24456976958,True,5.0,0.0,0.0
7.29999999999999,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,13201.230501479853,True,5.0,0.0,0.0
7.39999999999999,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,13392.216433190128,True,5.0,0.0,0.0
7.499999999999989,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,13583.202364900402,True,5.0,0.0,0.0
7.599999999999989,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,13774.188296610677,True,5.0,0.0,0.0
7.699999999999989,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,13965.174228320951,True,5.0,0.0,0.0
7.799999999999988,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,14156.160160031226,True,5.0,0.0,0.0
7.899999999999988,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,14347.1460917415,True,5.0,0.0,0.0
7.999999999999988,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,14538.132023451775,True,5.0,0.0,0.0
8.099999999999987,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,14729.11795516205,True,5.0,0.0,0.0
8.199999999999987,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,14920.103886872324,True,5.0,0.0,0.0
8.299999999999986,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,15111.089818582597,True,5.0,0.0,0.0
8.399999999999986,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,15302.075750292872,True,5.0,0.0,0.0
8.499999999999986,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,15493.061682003146,True,5.0,0.0,0.0
8.599999999999985,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,15684.047613713421,True,5.0,0.0,0.0
8.699999999999985,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,15875.033545423696,True,5.0,0.0,0.0
8.799999999999985,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,16066.01947713397,True,5.0,0.0,0.0
8.899999999999984,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,16257.005408844245,True,5.0,0.0,0.0
8.999999999999984,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,16447.99134055452,True,5.0,0.0,0.0
9.099999999999984,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,16638.977272264794,True,5.0,0.0,0.0
9.199999999999983,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,16829.96320397507,True,5.0,0.0,0.0
9.299999999999983,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,17020.949135685343,True,5.0,0.0,0.0
9.399999999999983,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,17211.935067395618,True,5.0,0.0,0.0
9.499999999999982,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,17402.920999105892,True,5.0,0.0,0.0
9.599999999999982,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,17593.906930816167,True,5.0,0.0,0.0
9.699999999999982,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,17784.892862526438,True,5.0,0.0,0.0
9.799999999999981,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,17975.878794236713,True,5.0,0.0,0.0
9.89999999999998,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,18166.864725946987,True,5.0,0.0,0.0
9.99999999999998,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,18357.85065765726,True,5.0,0.0,0.0
10.09999999999998,0.0,231.06567307669997,,,,231.06567307669997,231.06567307669997,1.0,engaged,0.0,3,0.0,18548.836589367536,True,5.0,0.0,0.0
